City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
148,Guerrero Negro,MX,2020-04-19 20:00:13,27.98,-114.06,67.42,57,98,18.86,overcast clouds,0.0,0.0
149,Mackenzie,CA,2020-04-19 20:00:14,55.3,-123.17,48.2,45,1,4.7,clear sky,0.0,0.0
150,Nara,JP,2020-04-19 20:00:14,34.69,135.8,55.99,86,100,11.21,moderate rain,7.89,0.0
151,Cockburn Town,TC,2020-04-19 20:00:08,21.46,-71.14,79.16,80,0,13.8,clear sky,0.0,0.0
152,Bouake,CI,2020-04-19 20:00:15,7.69,-5.02,86.0,66,20,6.93,few clouds,0.0,0.0
153,Along,IN,2020-04-19 20:00:15,28.17,94.77,64.65,70,100,2.37,light rain,2.3,0.0
154,New Norfolk,AU,2020-04-19 20:00:15,-42.78,147.06,48.99,87,100,5.37,light rain,0.0,0.0
155,Pangnirtung,CA,2020-04-19 20:00:16,66.15,-65.71,3.2,77,20,12.75,few clouds,0.0,0.0
156,Formosa Do Rio Preto,BR,2020-04-19 20:00:16,-11.05,-45.19,74.55,80,90,4.34,light rain,0.67,0.0
157,Hammond,US,2020-04-19 20:00:16,41.58,-87.5,55.4,46,1,16.11,clear sky,0.0,0.0
158,Avarua,CK,2020-04-19 20:00:16,-21.21,-159.78,80.6,74,2,6.93,light rain,0.14,0.0
159,Manokwari,ID,2020-04-19 19:57:22,-0.87,134.08,81.05,71,50,3.78,scattered clouds,0.0,0.0
160,Constitucion,CL,2020-04-19 19:56:18,-35.33,-72.42,64.38,50,79,18.19,broken clouds,0.0,0.0
161,Yellowknife,CA,2020-04-19 20:00:17,62.46,-114.35,26.01,62,40,14.99,scattered clouds,0.0,0.0
162,Derzhavinsk,KZ,2020-04-19 19:56:52,51.1,66.32,54.34,68,98,0.78,overcast clouds,0.0,0.0
163,Georgetown,MY,2020-04-19 20:00:18,5.41,100.34,80.6,94,20,4.7,few clouds,0.0,0.0
164,La Ronge,CA,2020-04-19 19:56:17,55.1,-105.28,41.0,44,75,21.92,broken clouds,0.0,0.0
165,Oranjemund,NA,2020-04-19 20:00:18,-28.55,16.43,59.31,93,5,2.66,clear sky,0.0,0.0
166,Cape Town,ZA,2020-04-19 19:58:35,-33.93,18.42,63.0,87,75,18.34,broken clouds,0.0,0.0
167,Sabha,LY,2020-04-19 20:00:19,27.04,14.43,83.48,15,13,19.48,few clouds,0.0,0.0
168,Lensk,RU,2020-04-19 20:00:19,60.73,114.93,15.75,93,88,2.64,overcast clouds,0.0,0.0
169,Marzuq,YE,2020-04-19 20:00:19,14.4,46.47,75.65,46,99,1.14,overcast clouds,0.0,0.0
170,Melita,CA,2020-04-19 20:00:19,49.27,-101.0,52.0,43,74,14.0,broken clouds,0.0,0.0
171,Oudtshoorn,ZA,2020-04-19 20:00:19,-33.59,22.2,62.6,67,0,4.7,clear sky,0.0,0.0
172,Kaitangata,NZ,2020-04-19 20:00:19,-46.28,169.85,51.01,49,85,11.99,overcast clouds,0.0,0.0
173,Houma,US,2020-04-19 20:00:20,29.6,-90.72,82.4,74,1,9.17,clear sky,0.0,0.0
174,Westport,US,2020-04-19 20:00:18,41.14,-73.36,59.0,47,1,17.22,clear sky,0.0,0.0
175,Sola,VU,2020-04-19 20:00:20,-13.88,167.55,82.49,76,39,8.08,light rain,1.68,0.0
176,Grindavik,IS,2020-04-19 19:56:27,63.84,-22.43,46.4,100,90,28.86,light intensity drizzle,0.0,0.0
177,Alford,GB,2020-04-19 19:59:08,57.23,-2.7,43.0,77,0,4.0,clear sky,0.0,0.0
178,Saint George,US,2020-04-19 20:00:05,37.1,-113.58,73.0,34,1,3.36,clear sky,0.0,0.0
179,San Jose,US,2020-04-19 19:56:37,37.34,-121.89,68.0,48,75,10.29,broken clouds,0.0,0.0
180,Port Elizabeth,ZA,2020-04-19 19:56:22,-33.92,25.57,71.6,78,59,4.7,broken clouds,0.0,0.0
181,Kalmar,SE,2020-04-19 20:00:21,56.66,16.36,44.6,65,0,4.7,clear sky,0.0,0.0
182,Kutum,SD,2020-04-19 20:00:21,14.2,24.67,68.41,15,94,8.37,overcast clouds,0.0,0.0
183,Vila Franca Do Campo,PT,2020-04-19 20:00:22,37.72,-25.43,59.0,62,20,21.92,few clouds,0.0,0.0
184,Port Hardy,CA,2020-04-19 20:00:23,50.7,-127.42,48.2,93,90,5.82,overcast clouds,0.0,0.0
185,Isangel,VU,2020-04-19 20:00:23,-19.55,169.27,78.55,83,100,14.72,light rain,2.49,0.0
186,Sistranda,NO,2020-04-19 20:00:23,63.73,8.83,41.0,86,40,5.82,scattered clouds,0.0,0.0
187,Lasa,IT,2020-04-19 20:00:23,46.62,10.7,51.8,76,75,4.7,broken clouds,0.0,0.0
188,Ust-Maya,RU,2020-04-19 20:00:24,60.42,134.53,6.8,91,5,2.46,clear sky,0.0,0.0
189,Chapais,CA,2020-04-19 20:00:24,49.78,-74.85,23.0,62,90,13.87,light snow,0.0,0.0
190,Medford,US,2020-04-19 20:00:24,42.33,-122.88,66.99,44,1,5.82,clear sky,0.0,0.0
191,Benghazi,LY,2020-04-19 20:00:24,32.12,20.07,65.98,41,51,11.83,broken clouds,0.0,0.0
192,Coquimbo,CL,2020-04-19 20:00:25,-29.95,-71.34,64.4,77,75,11.41,broken clouds,0.0,0.0
193,Borisoglebsk,RU,2020-04-19 20:00:25,51.37,42.08,36.0,74,56,4.25,broken clouds,0.0,0.0
194,Dunedin,NZ,2020-04-19 20:00:25,-45.87,170.5,51.01,56,50,10.11,scattered clouds,0.0,0.0
195,Chachapoyas,PE,2020-04-19 20:00:25,-6.23,-77.87,64.11,35,61,2.39,light rain,1.1,0.0
