City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Saint Anthony,US,2020-04-19 16:59:57,45.02,-93.22,45.0,38,1,11.41
132,Sterling,US,2020-04-19 16:59:57,39.01,-77.43,63.0,38,1,10.29
133,Nishihara,JP,2020-04-19 16:59:57,26.18,127.76,75.2,88,75,19.46
134,Middletown,US,2020-04-19 16:59:45,39.52,-84.4,55.0,54,75,10.29
135,Labrea,BR,2020-04-19 16:59:58,-7.26,-64.8,84.04,67,85,2.91
136,Iranshahr,IR,2020-04-19 16:59:58,27.2,60.68,84.2,37,100,4.7
137,Flinders,AU,2020-04-19 16:59:58,-34.58,150.86,55.99,92,53,7.83
138,Waipawa,NZ,2020-04-19 16:59:58,-41.41,175.52,55.99,71,52,14.03
139,Kavieng,PG,2020-04-19 16:59:58,-2.57,150.8,83.61,71,23,4.18
140,Kawardha,IN,2020-04-19 16:59:59,22.02,81.25,87.28,23,76,4.52
141,Xuddur,SO,2020-04-19 16:59:59,4.12,43.89,79.97,58,98,6.76
142,Asau,RO,2020-04-19 16:59:59,46.43,26.4,57.2,50,75,23.04
143,Tasiilaq,GL,2020-04-19 16:59:59,65.61,-37.64,32.0,93,99,24.16
144,Yishui,CN,2020-04-19 17:00:00,35.78,118.63,50.83,80,7,9.84
145,Pisco,PE,2020-04-19 17:00:00,-13.7,-76.22,73.4,73,9,8.05
146,Upernavik,GL,2020-04-19 17:00:00,72.79,-56.15,24.24,88,63,10.78
147,Locri,IT,2020-04-19 17:00:00,38.24,16.26,66.0,23,52,6.69
148,Sao Joao Da Barra,BR,2020-04-19 17:00:00,-21.64,-41.05,78.8,57,75,6.93
149,Labuhan,ID,2020-04-19 17:00:00,-6.88,112.21,80.08,81,63,1.57
150,Haines Junction,CA,2020-04-19 17:00:01,60.75,-137.51,42.67,53,100,4.97
151,Saint George,US,2020-04-19 16:59:59,37.1,-113.58,62.01,58,1,7.94
152,Assiniboia,CA,2020-04-19 17:00:02,49.63,-105.98,47.46,36,1,19.8
153,Saint-Joseph,RE,2020-04-19 17:00:02,-21.37,55.62,77.0,78,20,21.92
154,Puerto Baquerizo Moreno,EC,2020-04-19 17:00:02,-0.9,-89.6,77.81,85,18,12.93
155,Erie,US,2020-04-19 17:00:02,42.77,-78.67,51.8,50,90,26.4
156,Victoria,HK,2020-04-19 17:00:03,22.29,114.16,77.0,83,45,6.2
157,Chicama,PE,2020-04-19 17:00:03,-7.84,-79.15,69.8,83,22,12.75
158,Poronaysk,RU,2020-04-19 17:00:03,49.22,143.12,32.04,96,98,5.41
159,Outlook,CA,2020-04-19 17:00:03,51.5,-107.05,48.94,40,59,20.85
160,Kapaa,US,2020-04-19 17:00:03,22.08,-159.32,69.8,83,75,5.82
161,Seoul,KR,2020-04-19 16:55:20,37.57,126.98,50.0,81,90,5.82
162,Caravelas,BR,2020-04-19 17:00:04,-17.71,-39.25,77.41,76,74,19.39
163,Mahebourg,MU,2020-04-19 17:00:04,-20.41,57.7,77.0,73,40,12.75
164,Salaya,IN,2020-04-19 17:00:04,22.32,69.6,80.13,78,45,11.56
165,Cidreira,BR,2020-04-19 17:00:04,-30.18,-50.21,72.5,65,0,14.12
166,San Jeronimo,PE,2020-04-19 17:00:05,-11.95,-75.28,57.45,20,54,5.95
167,Muros,ES,2020-04-19 17:00:05,42.78,-9.06,61.0,79,30,10.0
168,Bayir,TR,2020-04-19 17:00:05,37.27,28.22,66.2,55,84,6.93
169,Qaanaaq,GL,2020-04-19 16:55:43,77.48,-69.36,17.53,89,68,8.03
170,Prince Rupert,CA,2020-04-19 17:00:05,54.32,-130.32,42.8,100,90,3.36
171,Bluff,NZ,2020-04-19 17:00:06,-46.6,168.33,43.0,85,97,4.0
172,Dodge City,US,2020-04-19 17:00:06,37.75,-100.02,66.0,72,1,9.17
173,Bambanglipuro,ID,2020-04-19 17:00:06,-7.95,110.28,79.0,81,90,2.77
174,Ishikawa,JP,2020-04-19 17:00:06,26.42,127.82,73.4,88,90,10.29
175,Fershampenuaz,RU,2020-04-19 17:00:07,53.52,59.81,43.32,58,99,4.79
176,Gat,IL,2020-04-19 16:57:38,31.61,34.76,73.99,30,7,12.66
177,Sitka,US,2020-04-19 17:00:07,57.05,-135.33,39.2,93,90,3.36
178,Deputatskiy,RU,2020-04-19 17:00:07,69.3,139.9,0.54,86,98,5.55
179,Rawson,AR,2020-04-19 17:00:07,-43.3,-65.1,65.41,28,91,19.33
180,Ahipara,NZ,2020-04-19 17:00:07,-35.17,173.17,60.31,86,100,5.93
181,Magadan,RU,2020-04-19 17:00:07,59.57,150.8,-1.77,81,0,7.56
182,Abu Zabad,SD,2020-04-19 17:00:08,12.35,29.25,83.73,12,37,8.66
183,Sendafa,ET,2020-04-19 17:00:08,9.15,39.03,57.6,38,61,4.0
184,Male,MV,2020-04-19 17:00:08,4.17,73.51,85.77,76,75,11.95
185,Smithers,CA,2020-04-19 16:59:46,54.78,-127.17,39.2,44,5,3.36
186,Adrar,MR,2020-04-19 17:00:09,20.5,-10.07,83.43,14,0,10.6
187,Laizhou,CN,2020-04-19 17:00:09,37.18,119.93,50.02,84,14,11.3
188,Talnakh,RU,2020-04-19 17:00:09,69.49,88.4,39.2,69,100,31.32
189,Sabha,LY,2020-04-19 16:56:20,27.04,14.43,87.37,14,80,14.63
190,Ribeira Brava,PT,2020-04-19 17:00:10,32.65,-17.07,66.99,70,24,4.0
191,Oum Hadjer,TD,2020-04-19 17:00:10,13.3,19.7,90.01,10,48,7.36
192,Yeppoon,AU,2020-04-19 17:00:10,-23.13,150.73,71.6,88,75,1.79
193,Bantva,IN,2020-04-19 17:00:10,21.49,70.07,80.4,55,39,6.53
194,Alofi,NU,2020-04-19 17:00:10,-19.06,-169.92,75.2,94,32,6.93
195,Keuruu,FI,2020-04-19 17:00:10,62.27,24.7,45.0,52,88,11.41
196,Ilulissat,GL,2020-04-19 17:00:11,69.22,-51.1,28.4,54,52,21.92
197,Vigrestad,NO,2020-04-19 17:00:11,58.57,5.7,50.0,66,0,11.41
198,Krasnyy Oktyabr,RU,2020-04-19 17:00:11,56.12,38.88,35.26,80,93,1.23
199,Kailua,US,2020-04-19 17:00:11,21.4,-157.74,78.8,61,75,5.82
200,Aljezur,PT,2020-04-19 17:00:12,37.32,-8.8,66.99,50,2,19.22
201,Yulara,AU,2020-04-19 17:00:12,-25.24,130.99,73.4,33,36,3.36
202,La Rioja,ES,2020-04-19 17:00:12,42.25,-2.5,57.2,87,75,4.7
203,Puerto Colombia,CO,2020-04-19 16:57:49,10.99,-74.95,86.0,70,75,6.93
204,Sibolga,ID,2020-04-19 17:00:12,1.74,98.78,77.65,80,99,3.6
205,Payakumbuh,ID,2020-04-19 17:00:13,-0.22,100.63,70.5,78,74,0.56
206,Lhokseumawe,ID,2020-04-19 17:00:14,5.18,97.15,79.86,80,92,3.38
207,Broome,US,2020-04-19 17:00:14,42.25,-75.83,55.99,54,1,14.99
208,Ostrovnoy,RU,2020-04-19 17:00:14,68.05,39.51,30.65,95,97,10.69
209,Ucluelet,CA,2020-04-19 16:59:47,48.93,-125.55,50.0,81,90,10.29
210,La Ronge,CA,2020-04-19 17:00:14,55.1,-105.28,41.0,52,75,19.46
211,Rocha,UY,2020-04-19 17:00:14,-34.48,-54.33,74.19,57,0,8.59
212,Cabinda,AO,2020-04-19 17:00:15,-5.55,12.2,81.82,80,67,3.44
213,Santiago De Cuba,CU,2020-04-19 17:00:15,20.02,-75.82,86.0,66,20,10.29
214,Puerto Ayora,EC,2020-04-19 16:55:42,-0.74,-90.35,84.2,74,40,13.87
215,Korla,CN,2020-04-19 17:00:15,41.76,86.15,57.99,58,100,5.3
216,Mbandaka,CD,2020-04-19 17:00:15,0.05,18.26,74.98,77,75,3.0
217,Nuuk,GL,2020-04-19 17:00:15,64.18,-51.72,32.0,90,77,41.38
218,Esperance,AU,2020-04-19 17:00:16,-33.87,121.9,53.6,87,40,6.93
219,Barrow,US,2020-04-19 17:00:16,71.29,-156.79,8.6,78,90,3.36
220,Sorong,ID,2020-04-19 17:00:16,-0.88,131.25,76.8,88,96,0.58
221,Gigmoto,PH,2020-04-19 17:00:16,13.78,124.39,81.43,80,84,11.23
222,Pacific Grove,US,2020-04-19 17:00:16,36.62,-121.92,57.99,58,47,1.99
223,Birao,CF,2020-04-19 17:00:16,10.28,22.79,87.19,11,94,1.52
224,Sao Filipe,CV,2020-04-19 17:00:17,14.9,-24.5,72.03,74,13,23.78
225,Fort Nelson,CA,2020-04-19 17:00:17,58.81,-122.7,57.2,35,40,14.99
226,Brazzaville,CG,2020-04-19 17:00:17,-4.27,15.28,89.6,52,20,2.24
227,Alyangula,AU,2020-04-19 17:00:17,-13.85,136.42,75.2,100,0,4.54
